仕入先[   1010]-[ 100000] ＊＊ 仕入先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仕入先CD,仕入先名ｶﾅ,仕入先名,仕入先(略),郵便番号,住所1,住所2,E-mail,URL,電話番号,FAX番号,担当者CD,担当者名,支払先CD,税区分(買掛),税端数(買掛),仕入区分,税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,支払明細書,支払予定日,支払区分,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数区分,登録日,最終更新日
1058,マルシン,㈱丸信,㈱丸信,839-0813,福岡県久留米市山川市ノ上町7-20,,,,0942-45-2766,0942-45-2769,1,堀口(崇),1058,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2004/4/12,2024/11/12
1059,メモリードミヤ,株式会社メモリ－ド宮崎メモリ－ドホ－ル,株式会社メモリ－ド宮,880-0811,宮崎県宮崎市錦町6番11号,,,,0985-26-4949,0985-26-7944,1,堀口(崇),1059,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2004/6/12,2024/11/12
1064,ライコー,ライコ-㈱,ﾗｲｺ-㈱,892-0836,鹿児島市錦江町４番68号,,,,099-227-0600,099-227-0710,1,堀口(崇),1064,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2005/8/12,2024/11/12
1065,キングコーポレ,㈱キングコ-ポレ-ション,㈱ｷﾝｸﾞｺ-ﾎﾟﾚ-ｼｮﾝ,,鹿児島市東郡元町3番24号,,,,099-252-7420,099-252-7898,1,堀口(崇),1065,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2005/8/12,2024/11/12
1067,ブシュロン,㈱ブシュロン,㈱ﾌﾞｼｭﾛﾝ,8160904,福岡県大野城市大池1-5-5,,,,092-503-1615,092-503-1621,1,堀口(崇),1067,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2008/5/10,2024/11/12
1070,ナカモリセイカ,中森製菓㈱,中森製菓㈱,520-0844,滋賀県大津市国分2丁目425,,,,077-537-6711,077-537-3006,1,堀口(崇),1070,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,2,2009/2/8,2024/11/12
1071,ザパック,ザ・パック㈱,ｻﾞ・ﾊﾟｯｸ㈱,891-0115,鹿児島市東開町13-40,,,,099-267-5005,099-268-9694,1,堀口(崇),1071,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2009/2/8,2024/11/12
1072,シズパック,静パック㈲,静ﾊﾟｯｸ㈲,422-8047,静岡県静岡市駿河区中村町390,,,,054-281-9092,054-287-4556,1,堀口(崇),1072,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2009/7/13,2024/11/12
1073,トーノー,㈱トーノー,㈱ﾄ-ﾉ-,421-1221,静岡県静岡市葵区牧ケ谷2382-4,,,,054-276-0123,0120-39-7249,1,堀口(崇),1073,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2009/9/8,2024/11/12
1074,サンマイドウシ,㈲三昧堂商事,㈲三味堂商事,899-7103,鹿児島県志布志市志布志町志布志3-8-6,,,,099-472-1466,099-473-1818,1,堀口(崇),1074,4 無処理,2 切り捨て,1 買,4 無処理,2 切り捨て,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2009/11/9,2024/11/12
1075,シブシシンセイ,㈲志布志新生社印刷,㈲志布志新生社印刷,899-7103,鹿児島県志布志市志布志町志布志3223-7,,,,099-472-2422,099-473-3250,1,堀口(崇),1075,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2010/8/12,2024/11/12
1077,タカラパック,㈱宝パック,㈱宝ﾊﾟｯｸ,,福岡市八女市立花町谷川128-3,,,,0943-37-1170,0943-37-1171,1,堀口(崇),1077,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2010/11/13,2024/11/12
1078,セルプシブシ,セルプしぶし,セルプしぶし,,志布志市志布志町帖6617番地13,,,,099-471-6006,099-479-3855,1,堀口(崇),1078,1 締時一括,2 切り捨て,1 買,4 無処理,2 切り捨て,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2011/1/13,2024/11/12
1080,トッパンインサ,トッパン印刷㈱,ﾄｯﾊﾟﾝ印刷㈱,810-0022,福岡市中央区薬院1-17-28,,,,092-722-2024,092-751-9500,1,堀口(崇),1080,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2011/9/9,2024/11/12
1081,ヤスナガショウ,㈱安永商会　,㈱安永商会,,熊本市中央区南熊本5丁目10-8,,,,096-364-1151～3,096-363-7095,1,堀口(崇),1081,1 締時一括,1 四捨五入,1 買,2 伝票単位,2 切り捨て,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2012/9/14,2024/11/12
1083,イチジマヨウカ,市島羊羹製造本舗,市島羊羹製造本舗,884-0006,宮崎県児湯郡高鍋町上江1975-3,,,,0983-22-4756,0983-23-7031,1,堀口(崇),1083,2 伝票単位,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2013/12/26,2024/11/12
1084,ヤマエヒサノ,ヤマエ久野㈱,ﾔﾏｴ久野㈱,891-0131,鹿児島市谷山港1-3-4,,,,099-261-5645,099-261-5131,1,堀口(崇),1084,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2014/8/12,2024/11/12
1085,クリエイトキカ,株式会社　クリエイト企画,株式会社 ｸﾘｴｲﾄ企画,157-0073,東京都世田谷区砧2-4-27M2ビル4F,,,,03-3416-7776,03-3416-7090,1,堀口(崇),1085,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2014/9/13,2024/11/12
1086,トーホーフード,㈱トーホーフードサービス都城支店,㈱トーホー都城,885-0004,宮崎県都城市都北町5907,,,,0986-46-7131,0986-38-6658,1,堀口(崇),1086,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2014/10/11,2024/11/12
1087,セイコウサンギ,㈱静幸産業,㈱静幸産業,420-0913,静岡県静岡市葵区,瀬名川３丁目2-5,,,054-262-2161,054-262-2726,1,堀口(崇),1087,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,15,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2014/11/13,2024/11/12
1089,チャトウエンマ,茶陶苑　まさき,茶陶苑 まさき,5100004,三重県四日市市,大宮西町３－７,,,059-330-6557,059-330-6559,1,堀口(崇),1089,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2014/11/25,2024/11/12
1091,ミヤウシロイン,㈱宮後印刷,㈱宮後印刷,899-0121,鹿児島県出水市米ノ津町8-16,,,,0996-67-1014,0996-67-1814,1,堀口(崇),1091,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2015/4/17,2024/11/12
1092,トライシャ,㈱トライ社,㈱ﾄﾗｲ社,,鹿児島市南林寺町12-6,,,,099-226-0812,099-225-7933,1,堀口(崇),1092,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2015/4/17,2024/11/12
1094,オフセオクリカ,小布施栗菓製造㈱,小布施栗菓製造㈱,381-0208,長野県上高井郡小布施町都住497,,,,026-247-2549,026-247-3167,1,堀口(崇),1094,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2016/4/13,2024/11/12
1095,マルナカジドウ,㈱マルナカ自動車,㈱ﾏﾙﾅｶ自動車,885-0006,宮崎県都城市吉尾町160,,,,0986-38-0035,0986-38-4278,1,堀口(崇),1095,4 無処理,2 切り捨て,1 買,4 無処理,2 切り捨て,31,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2016/5/13,2024/11/12
